a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
shor,sar,91,77,85,48,0.17960720663281657,13,11
she,oky,41,103,39,90,0.1795826745870597,10,10
shor,ches,91,44,85,43,0.1790127814716364,14,12
cthor,air,45,95,42,70,0.17899695893563106,7,7
sho,o,118,114,124,83,0.17873672989479605,21,13
chol,tar,367,43,362,35,0.17826222122860477,22,16
sor,shckhy,43,55,45,64,0.17807525804153082,7,5
kchy,dol,36,97,36,89,0.17784338673942984,9,8
sho,char,118,79,124,75,0.1778231242000267,16,14
ain,chl,149,33,107,28,0.17739157261505747,4,4
chol,kal,367,30,362,27,0.17730123190314756,22,20
she,ain,41,149,39,107,0.17708440083028662,11,11
chos,l,42,156,43,137,0.17703523599345186,12,8
cthy,sal,100,48,67,44,0.17689616785356002,11,10
cho,chl,77,33,59,28,0.17677669529663684,4,4
ckhey,sheo,32,46,32,33,0.17669044171975448,3,3
ar,cthey,449,47,388,50,0.17653746978896173,25,23
dol,ches,97,44,89,43,0.17652434196600844,7,7
cthol,o,55,114,43,83,0.1761750527727107,6,6
ches,qol,44,147,43,132,0.17602923511377574,14,11
qol,key,147,33,132,36,0.1756155504678056,9,9
she,am,41,115,39,38,0.17496355305594133,7,7
cthor,sar,45,77,42,48,0.17475934065852364,4,4
chckhy,chos,141,42,153,43,0.17409961674122132,13,13
ckhey,char,32,79,32,75,0.17378533390904766,8,8
s,chckhy,328,141,291,153,0.1736071326045557,40,30
oky,lor,103,38,90,39,0.1730840623778635,7,6
or,kol,390,35,406,33,0.17283996921568057,21,19
qo,chos,51,42,59,43,0.17245936904743847,5,4
tar,air,43,95,35,70,0.17217511078754547,6,6
she,tar,41,43,39,35,0.17197979012252745,4,4
qo,key,51,33,59,36,0.17195436249022722,9,9
chdy,r,108,196,113,176,0.17172492132620956,21,20
kchy,chl,36,33,36,28,0.171601618245911,4,4
kar,shckhy,58,55,47,64,0.1713187229166822,8,8
kol,shckhy,35,55,33,64,0.1713187229166822,6,6
dol,oly,97,65,89,33,0.17112987867934093,8,7
ches,air,44,95,43,70,0.1710655935383687,14,13
or,chy,390,197,406,157,0.17102653066853815,45,36
shar,chey,34,510,24,580,0.1707743364637617,17,13
cho,qol,77,147,59,132,0.17072740563256353,13,11
ain,oty,149,114,107,79,0.17039954414774924,14,13
qo,shor,51,91,59,85,0.17027696555503258,15,14
dol,chos,97,42,89,43,0.1700122068931651,7,7
shar,oly,34,65,24,33,0.16984155512168936,4,4
cho,air,77,95,59,70,0.1695044603103275,10,10
she,sol,41,63,39,69,0.16896486193247381,7,7
oly,lor,65,38,33,39,0.16871245019029255,3,3
qo,chl,51,33,59,28,0.1686446300240688,6,6
shy,key,94,33,77,36,0.1683068251594085,6,6
shey,ody,344,38,374,24,0.1682104890060962,12,11
ar,cthy,449,100,388,67,0.16775985523320266,30,22
shor,oly,91,65,85,33,0.16775753073468525,9,8
sal,sar,48,77,44,48,0.16748280772542135,7,5
chor,sheo,215,46,199,33,0.16705002012777498,12,12
shar,ody,34,38,24,24,0.16703827619526526,4,4
cho,chcthy,77,84,59,94,0.1668979876199978,14,14
shor,chos,91,42,85,43,0.16666188419728545,9,8
ain,cthol,149,55,107,43,0.1663520129011783,9,7
ody,chckhy,38,141,24,153,0.1663471979683651,7,7
sal,cheo,48,75,44,62,0.16584403661926825,7,6
shey,cthol,344,55,374,43,0.1654301705361129,25,15
chdy,chl,108,33,113,28,0.1645701471510958,13,13
ar,kol,449,35,388,33,0.164307262147681,20,18
char,dol,79,97,75,89,0.1634300012601516,12,10
cho,dor,77,63,59,68,0.1633660098032678,11,9
al,sheo,311,46,245,33,0.16311817434811104,19,17
sal,oly,48,65,44,33,0.16269036695641684,5,4
or,shor,390,91,406,85,0.16266418030148072,34,25
ckhy,oly,38,65,27,33,0.16239958858823,4,4
chal,kchy,59,36,57,36,0.16230686829029886,6,6
cthol,dol,55,97,43,89,0.16192511360888553,10,9
dol,ody,97,38,89,24,0.16157312221285403,4,4
tol,key,42,33,48,36,0.1612292318775042,7,7
ar,shey,449,344,388,374,0.1611391098570662,107,69
kchy,cheo,36,75,36,62,0.1609687273171068,9,7
chy,chl,197,33,157,28,0.16091967146673405,11,11
oty,l,114,156,79,137,0.16088765919138892,22,20
shy,kar,94,58,77,47,0.16087919397513645,10,10
cthey,tar,47,43,50,35,0.16087236302194674,8,7
cthol,chl,55,33,43,28,0.1607060866333062,5,5
chcthy,cheo,84,75,94,62,0.16059101370939327,11,9
sal,shckhy,48,55,44,64,0.1603594562347207,7,7
ckhey,ody,32,38,32,24,0.16035674514745463,2,2
she,oly,41,65,39,33,0.16012815380508716,7,7
y,ckhy,210,38,176,27,0.15985796712691092,11,9
chey,chos,510,42,580,43,0.15983748251554092,23,16
sor,chcthy,43,84,45,94,0.1594370348044233,9,9
kchy,lor,36,38,36,39,0.1593919285085565,3,1
shar,kal,34,30,24,27,0.15875015875023815,4,4
kal,chl,30,33,27,28,0.15875015875023812,4,4
chal,ckhy,59,38,57,27,0.1582685176497861,5,5
kchy,key,36,33,36,36,0.15747244473304667,3,3
kchy,kar,36,58,36,47,0.15724272550828777,4,4
ar,sho,449,118,388,124,0.15545738213727117,39,26
ain,o,149,114,107,83,0.15545597166371164,11,6
shey,oly,344,65,374,33,0.15519701064866273,15,13
shar,shy,34,94,24,77,0.15519147819535262,7,6
shckhy,chl,55,33,64,28,0.15453063444227513,6,6
am,key,115,33,38,36,0.1545287749909218,5,4
chcthy,l,84,156,94,137,0.15421315028582244,23,22
ain,cheo,149,75,107,62,0.15416463248080148,12,10
shar,chcthy,34,84,24,94,0.15372967345311053,7,7
ody,sol,38,63,24,69,0.15366965796245594,3,3
ain,chos,149,42,107,43,0.15366000057862597,12,11
r,chy,196,197,176,157,0.15318628846690593,29,24
cthy,kal,100,30,67,27,0.15288103093409183,7,7
ol,ody,588,38,609,24,0.15282004041887795,13,13
s,chdy,328,108,291,113,0.15279531184376485,23,21
oky,chl,103,33,90,28,0.15277777777777776,6,6
qo,oly,51,65,59,33,0.15276195320645222,7,7
cthey,sal,47,48,50,44,0.1527399524929794,8,8
s,chey,328,510,291,580,0.15272013715170044,64,41
she,dol,41,97,39,89,0.1526722499740921,9,9
ckhey,kal,32,30,32,27,0.15240015240022858,4,4
kchy,shcthy,36,30,36,33,0.15238786355189188,6,6
sho,ody,118,38,124,24,0.152362350055011,6,4
d,dol,53,97,32,89,0.1523326004989225,6,6
qo,lor,51,38,59,39,0.15229407476231813,4,4
chor,key,215,33,199,36,0.1518289943212849,14,13
d,chey,53,510,32,580,0.15170281891169984,20,11
sheo,shckhy,46,55,33,64,0.15168936699355276,5,4
kol,tar,35,43,33,35,0.15167191839776337,7,7
shey,cho,344,77,374,59,0.15164432299143682,25,23
oky,shcthy,103,30,90,33,0.15108891192224108,5,4
s,chy,328,197,291,157,0.15106609110914662,34,25
cthy,l,100,156,67,137,0.1509465407880644,18,16
chdy,lor,108,38,113,39,0.1509010029104166,8,8
kchy,chckhy,36,141,36,153,0.1507867591378129,11,11
chdy,air,108,95,113,70,0.15021352323976214,14,14
chdy,qol,108,147,113,132,0.1500468969841066,17,15
ar,shy,449,94,388,77,0.1500408311288738,31,28
cthey,oly,47,65,50,33,0.1497861723788195,6,6
oty,qol,114,147,79,132,0.1497744557298807,21,15
dy,chl,204,33,144,28,0.14948701855038715,7,7
chol,key,367,33,362,36,0.14909619767208426,21,20
cthy,tar,100,43,67,35,0.1490517919779354,8,7
chdy,kchy,108,36,113,36,0.1489608979310545,10,9
chor,sal,215,48,199,44,0.14858011219100511,16,13
oky,ody,103,38,90,24,0.14847846772912465,4,4
cthey,ches,47,44,50,43,0.14841884761520144,9,9
cthey,sol,47,63,50,69,0.1481738961925499,5,4
qo,sal,51,48,59,44,0.14808185191881448,10,10
sho,chos,118,42,124,43,0.14798801467918873,10,9
oky,ches,103,44,90,43,0.14767428948070993,6,6
sheo,ody,46,38,33,24,0.1475703340252388,5,5
cthey,sor,47,43,50,45,0.14699878726500756,6,5
chdy,d,108,53,113,32,0.14673214211726593,8,8
cthy,cho,100,77,67,59,0.1461666105897814,9,7
kol,d,35,53,33,32,0.145910923101986,7,5
tol,oty,42,114,48,79,0.145731820128763,9,8
or,sho,390,118,406,124,0.14509777458114756,37,26
oky,sar,103,77,90,48,0.1450563035040488,7,7
chol,sar,367,77,362,48,0.14477394165065433,18,12
kchy,o,36,114,36,83,0.14470719035407653,9,7
chy,am,197,115,157,38,0.14452202432768343,9,8
r,sal,196,48,176,44,0.1442592584788427,24,20
sal,ody,48,38,44,24,0.14400460822119582,3,3
she,kar,41,58,39,47,0.14398646590827704,6,6
ckhey,sal,32,48,32,44,0.14368424162141993,7,7
shar,key,34,33,24,36,0.14338483366910112,3,3
chl,key,33,33,28,36,0.1433848336691011,5,5
chdy,sol,108,63,113,69,0.14292918378096392,10,10
kol,kar,35,58,33,47,0.14285714285714288,6,6
she,cho,41,77,39,59,0.14285714285714285,4,4
cthy,chos,100,42,67,43,0.14268595388869135,8,7
or,shckhy,390,55,406,64,0.14254464229215663,25,22
cho,oly,77,65,59,33,0.142336136715633,4,4
oky,air,103,95,90,70,0.14233108207557335,8,8
cthol,tar,55,43,43,35,0.1422741900104545,5,5
am,o,115,114,38,83,0.14200214453837642,8,5
she,cthor,41,45,39,42,0.1419833906676599,7,7
ckhey,ain,32,149,32,107,0.141913258092046,9,8
ckhy,shor,38,91,27,85,0.14166752066422925,8,7
chdy,sar,108,77,113,48,0.1416576493949657,11,11
am,shy,115,94,38,77,0.14118762936439952,8,8
chey,lor,510,38,580,39,0.14114803763051376,19,9
sal,ches,48,44,44,43,0.14105459034369808,7,7
r,am,196,115,176,38,0.14026359975859828,13,8
chckhy,sar,141,77,153,48,0.1399798496813743,14,12
kol,ches,35,44,33,43,0.1399306314728024,7,7
cho,kal,77,30,59,27,0.13969301268749157,7,7
tol,chcthy,42,84,48,94,0.13968605915391566,11,11
r,shor,196,91,176,85,0.1395701210574535,24,17
cthol,lor,55,38,43,39,0.13932018694125836,4,4
ckhy,shcthy,38,30,27,33,0.13930903806377162,2,2
air,key,95,33,70,36,0.13920485060019283,9,9
chckhy,lor,141,38,153,39,0.1388642223657358,8,7
cho,sheo,77,46,59,33,0.13882112167876096,6,6
kchy,cho,36,77,36,59,0.1386750490563073,4,4
sor,ody,43,38,45,24,0.1385917857350474,6,6
dol,chl,97,33,89,28,0.13854299851146656,6,6
char,ckhy,79,38,75,27,0.1384754686472162,7,7
kal,dor,30,63,27,68,0.13832375007766062,6,6
shol,chl,176,33,181,28,0.13788820796114815,8,8
cthol,sar,55,77,43,48,0.1378704626191191,3,3
shey,cheo,344,75,374,62,0.13775710513373093,30,18
oly,air,65,95,33,70,0.13740858372430334,3,3
char,shor,79,91,75,85,0.13732233421247833,15,14
chy,chos,197,42,157,43,0.13713306003534023,13,12
cthy,am,100,115,67,38,0.13689520511475545,8,8
she,lor,41,38,39,39,0.1368323264601645,2,2
d,ain,53,149,32,107,0.13672474656885764,7,5
ckhey,sol,32,63,32,69,0.13590417710722233,5,3
kal,ody,30,38,27,24,0.13576884666042613,3,3
chy,lor,197,38,157,39,0.13563020047152313,9,8
ckhy,cthey,38,47,27,50,0.13552618543578768,6,6
sheo,chos,46,42,33,43,0.13551538266302843,7,7
y,sheo,210,46,176,33,0.13539038361850972,10,10
she,ody,41,38,39,24,0.13498731178900975,5,5
ckhey,air,32,95,32,70,0.1348399724926484,9,9
chl,air,33,95,28,70,0.1348399724926484,4,4
d,chckhy,53,141,32,153,0.13376987136194313,9,9
s,kol,328,35,291,33,0.1336405529953917,23,19
kchy,tar,36,43,36,35,0.13355611265883555,4,3
dol,cthey,97,47,89,50,0.13329102543655716,8,8
chcthy,tar,84,43,94,35,0.13324272283470417,9,9
kol,lor,35,38,33,39,0.1327422459469327,4,4
kchy,air,36,95,36,70,0.13222147133698628,6,6
oly,shcthy,65,30,33,33,0.13197176106437508,4,4
sol,key,63,33,69,36,0.1319092776147732,5,5
shey,kchy,344,36,374,36,0.13166160373532665,14,10
cho,ckhy,77,38,59,27,0.13146843962443588,4,4
dar,sheo,287,46,242,33,0.13146610247005538,12,11
cho,cthol,77,55,59,43,0.13131313131313133,7,6
ar,ody,449,38,388,24,0.1312324236634075,16,14
oty,chl,114,33,79,28,0.13122266479195596,7,7
ain,cho,149,77,107,59,0.13117363024465672,9,9
sho,sor,118,43,124,45,0.13075782299380356,6,4
sho,cheo,118,75,124,62,0.1304771684930958,13,11
chol,lor,367,38,362,39,0.13041914372700542,15,7
kchy,sheo,36,46,36,33,0.129944424547263,5,5
ain,shcthy,149,30,107,33,0.1297302035443406,8,7
or,sal,390,48,406,44,0.12965824324693828,25,20
ckhy,chos,38,42,27,43,0.12833778958394956,5,4
cthey,lor,47,38,50,39,0.12799492126228443,4,3
o,air,114,95,83,70,0.12792042981336627,9,6
ckhy,l,38,156,27,137,0.1278512266494218,10,10
cthy,shckhy,100,55,67,64,0.12777260617308084,9,7
am,cthey,115,47,38,50,0.1272937693043289,5,5
sheo,key,46,33,33,36,0.126673647984535,4,4
sho,am,118,115,124,38,0.12659242088545833,7,6
she,chl,41,33,39,28,0.12626906806902632,5,5
sho,sal,118,48,124,44,0.12601941636211517,7,6
or,cthy,390,100,406,67,0.1259093378359508,29,20
cthor,key,45,33,42,36,0.12540051368250327,5,5
tol,ody,42,38,48,24,0.12521758066945235,4,4
shar,ckhey,34,32,24,32,0.125,3,2
chos,qol,42,147,43,132,0.12499641314796406,9,7
char,sal,79,48,75,44,0.12485106953823376,9,8
shor,shcthy,91,30,85,33,0.12471781309748661,5,5
oly,shckhy,65,55,33,64,0.12442416956500055,5,5
shey,tar,344,43,374,35,0.12382215936844934,16,13
sal,key,48,33,44,36,0.12361284651454936,5,5
chey,sar,510,77,580,48,0.12307972505709683,23,15
kol,key,35,33,33,36,0.12262786789699315,6,6
shar,kchy,34,36,24,36,0.12257258446136504,3,2
shar,shey,34,344,24,374,0.1223806147516005,13,11
chcthy,dor,84,63,94,68,0.12177204676176309,13,13
shy,cheo,94,75,77,62,0.12158854684316606,9,8
shar,shcthy,34,30,24,33,0.12141073279465804,2,2
shy,chos,94,42,77,43,0.12119054725863837,10,9
ain,ches,149,44,107,43,0.12103473112923174,9,8
ckhey,dol,32,97,32,89,0.12091025324637081,5,5
she,ckhy,41,38,39,27,0.1207363221040738,5,5
tol,sheo,42,46,48,33,0.12072554800745934,5,5
sho,chl,118,33,124,28,0.12059547765471651,5,5
am,chl,115,33,38,28,0.12028130608117203,3,3
ar,ckhy,449,38,388,27,0.12024072240843037,13,12
kal,air,30,95,27,70,0.1198728554188798,5,5
shar,ckhy,34,38,24,27,0.11952286093343936,2,1
dor,ody,63,38,68,24,0.11908262790561669,5,5
cthy,ches,100,44,67,43,0.11900192479824198,7,7
shy,o,94,114,77,83,0.11897176837470828,10,10
kol,o,35,114,33,83,0.11894763585068012,6,6
d,air,53,95,32,70,0.11891767800211263,6,5
cthy,qol,100,147,67,132,0.11890154961788141,9,8
cthey,chl,47,33,50,28,0.11811389781538349,4,4
shar,air,34,95,24,70,0.11798497593106737,4,4
kal,chos,30,42,27,43,0.11688558118597887,5,5
shey,ches,344,44,374,43,0.11660263973730715,15,14
qo,shcthy,51,30,59,33,0.11648152526567071,6,6
kchy,shor,36,91,36,85,0.11622582663390894,6,5
sho,r,118,196,124,176,0.11610451618853475,28,21
shckhy,o,55,114,64,83,0.11583259807015185,11,9
cho,shy,77,94,59,77,0.11527921664532322,10,10
s,shor,328,91,291,85,0.1149598329710345,25,16
cthol,kal,55,30,43,27,0.11429428310794766,5,5
kal,qo,30,51,27,59,0.11422874363177002,6,6
ol,shcthy,588,30,609,33,0.11420520625718446,19,14
ar,shcthy,449,30,388,33,0.11399727074524442,15,12
r,kol,196,35,176,33,0.11395777503443665,14,12
ody,tar,38,43,24,35,0.11375393879832252,3,3
sheo,cheo,46,75,33,62,0.1133003551405198,6,6
shy,chl,94,33,77,28,0.11286652959662005,7,7
ckhy,air,38,95,27,70,0.11281521496355322,4,4
s,shckhy,328,55,291,64,0.11250192633929597,18,15
sal,shy,48,94,44,77,0.11149284925303184,6,6
chcthy,chos,84,42,94,43,0.11147408034263075,6,6
kol,chl,35,33,33,28,0.11135885079684349,3,3
sho,d,118,53,124,32,0.11049892402196597,7,5
s,sho,328,118,291,124,0.11039654147906511,28,18
cthy,d,100,53,67,32,0.1103002443454721,6,4
sal,chos,48,42,44,43,0.11020078277271522,5,5
ckhey,cho,32,77,32,59,0.10999438818457405,6,6
chal,sheo,59,46,57,33,0.1096725375202667,4,4
cheo,shcthy,75,30,62,33,0.10961700953114054,5,5
cthy,chl,100,33,67,28,0.10943513103291656,3,3
kol,chos,35,42,33,43,0.10932267489210504,4,3
ody,oty,38,114,24,79,0.1091089451179962,6,6
shor,sheo,91,46,85,33,0.1090764867073068,5,5
ckhey,ches,32,44,32,43,0.10874197679943183,5,5
shey,chl,344,33,374,28,0.108394258779989,9,9
kchy,shckhy,36,55,36,64,0.10775449168807305,4,4
ckhey,chos,32,42,32,43,0.10737509843863186,5,4
cthy,kar,100,58,67,47,0.10724181977192264,5,5
or,shey,390,344,406,374,0.10706859465344461,73,47
ar,kchy,449,36,388,36,0.1056932252218885,18,14
ckhey,o,32,114,32,83,0.105409255338946,7,6
d,ckhy,53,38,32,27,0.10540925533894596,3,2
chcthy,sol,84,63,94,69,0.1051930309977415,8,8
shcthy,air,30,95,33,70,0.10477452717020143,5,5
dol,key,97,33,89,36,0.10402017930371861,6,6
s,cthy,328,100,291,67,0.10378240623089291,24,16
ckhey,sor,32,43,32,45,0.1037125957683463,3,3
d,chy,53,197,32,157,0.10362252836467177,6,5
chy,sar,197,77,157,48,0.10337354197508035,10,9
am,chos,115,42,38,43,0.10332173664634445,4,4
cthy,air,100,95,67,70,0.10329361040745492,8,8
or,kchy,390,36,406,36,0.10323360961053225,15,12
cthol,key,55,33,43,36,0.10323181344684886,6,6
cthey,dor,47,63,50,68,0.10291616342770396,9,9
she,kal,41,30,39,27,0.10263160115815712,3,3
ckhey,cheo,32,75,32,62,0.10259783520851541,4,3
shy,ches,94,44,77,43,0.1022777461902337,7,7
shar,she,34,41,24,39,0.10101525445522108,2,2
cthey,ody,47,38,50,24,0.10101525445522107,4,4
sor,shcthy,43,30,45,33,0.1007345780181686,6,6
air,lor,95,38,70,39,0.10045766829498907,4,4
cthy,key,100,33,67,36,0.10042456358855058,6,6
ckhy,qol,38,147,27,132,0.10034782713716235,7,7
dol,sheo,97,46,89,33,0.10014227838069674,5,5
oly,sheo,65,46,33,33,0.10003126465607108,4,4
ckhy,sol,38,63,27,69,0.09996096037329259,5,5
or,shy,390,94,406,77,0.09930263673415501,30,28
kchy,she,36,41,36,39,0.09905360646879094,3,3
cthol,am,55,115,43,38,0.09896928253669407,6,6
shy,air,94,95,77,70,0.09892297834996812,7,7
kchy,d,36,53,36,32,0.09883324222148017,4,3
am,cheo,115,75,38,62,0.09872481295984872,4,3
kal,shcthy,30,30,27,33,0.09868274229828967,2,2
cthol,l,55,156,43,137,0.09771391169894039,9,8
cthy,r,100,196,67,176,0.09766496420634657,16,12
cthey,cheo,47,75,50,62,0.09694584179118515,4,4
chcthy,qol,84,147,94,132,0.09662758531549073,10,10
cthy,lor,100,38,67,39,0.09635447019067941,5,4
shy,tar,94,43,77,35,0.09607837042319843,7,7
ckhy,ody,38,38,27,24,0.09583148474999097,2,2
ar,ckhey,449,32,388,32,0.09581010095306072,18,16
ody,kar,38,58,24,47,0.09523809523809525,3,3
chos,shckhy,42,55,43,64,0.09481566905727729,6,6
kchy,am,36,115,36,38,0.09435641951204966,2,2
ol,sheo,588,46,609,33,0.09427247702811449,14,12
sheo,l,46,156,33,137,0.09325768942645589,9,8
ckhy,sor,38,43,27,45,0.09297019620799551,4,4
cthol,sal,55,48,43,44,0.09236372872741128,6,5
cheo,shckhy,75,55,62,64,0.0916038272770162,6,5
r,shey,196,344,176,374,0.09153517928517058,50,36
ody,lor,38,38,24,39,0.09050607678199955,2,2
kchy,chos,36,42,36,43,0.090248525639428,4,3
r,shckhy,196,55,176,64,0.08989706735103718,15,13
sal,chl,48,33,44,28,0.08980265101338744,2,2
shckhy,sar,55,77,64,48,0.08966257044132753,7,6
sho,oly,118,65,124,33,0.08937653875863269,6,6
kchy,oly,36,65,36,33,0.08882311833686551,4,4
ckhey,d,32,53,32,32,0.08819171036881969,3,2
r,kchy,196,36,176,36,0.0875115474243669,6,3
r,kal,196,30,176,27,0.08689459622757965,12,11
chcthy,o,84,114,94,83,0.08642416214502248,12,10
cthey,o,47,114,50,83,0.08632206622970619,8,8
shey,chos,344,42,374,43,0.08581636281425886,13,12
shey,lor,344,38,374,39,0.08525480002773125,14,9
kal,sheo,30,46,27,33,0.08414890701798215,3,3
kol,cho,35,77,33,59,0.08399210511316162,5,5
chcthy,chl,84,33,94,28,0.08385254915624209,6,6
kol,sar,35,77,33,48,0.08307413104653781,5,5
chcthy,air,84,95,94,70,0.08291561975888499,7,7
shey,d,344,53,374,32,0.08281941540469696,11,9
chos,air,42,95,43,70,0.08273403039920306,5,5
ody,cheo,38,75,24,62,0.08226127456606228,3,3
sho,tar,118,43,124,35,0.08212615034683854,7,6
s,sal,328,48,291,44,0.08206714231960624,17,13
shey,o,344,114,374,83,0.08157745568897196,24,17
am,ches,115,44,38,43,0.08138434574843484,4,4
or,ckhy,390,38,406,27,0.08089156473388591,8,7
sheo,sol,46,63,33,69,0.08081287672713655,4,4
char,kchy,79,36,75,36,0.07952491873652953,5,5
dor,key,63,33,68,36,0.07950439882424457,4,4
r,cthey,196,47,176,50,0.07870635467029792,13,12
or,kal,390,30,406,27,0.0783118988438009,11,10
dor,sheo,63,46,68,33,0.0765404529471217,5,5
cthol,qol,55,147,43,132,0.07619239590213579,7,6
s,shy,328,94,291,77,0.07589865199633454,21,17
chcthy,lor,84,38,94,39,0.07572281660192283,3,3
or,ckhey,390,32,406,32,0.07519859855181764,15,14
cthor,shckhy,45,55,42,64,0.07508240602452523,4,4
am,shcthy,115,30,38,33,0.07476962054560592,2,2
chos,shcthy,42,30,43,33,0.07449422505904478,2,2
sheo,air,46,95,33,70,0.07445291969126748,2,2
or,chcthy,390,84,406,94,0.07314489250594294,41,36
cthy,o,100,114,67,83,0.07305801257729819,6,6
chl,shcthy,33,30,28,33,0.07284643967679481,2,2
ody,qol,38,147,24,132,0.0725950056354125,3,3
cthey,chos,47,42,50,43,0.07247137945655605,5,5
sho,lor,118,38,124,39,0.0712822374419838,5,4
d,shy,53,94,32,77,0.07109923063227809,6,5
tar,shckhy,43,55,35,64,0.07015744627801575,2,2
cthol,air,55,95,43,70,0.0693427337633158,4,4
r,shy,196,94,176,77,0.0688303235340315,15,14
shar,shckhy,34,55,24,64,0.0686802819743445,3,3
or,cthey,390,47,406,50,0.06821375681440844,20,19
ody,l,38,156,24,137,0.06770937642509364,5,5
s,kchy,328,36,291,36,0.06763127978851087,13,10
ckhy,o,38,114,27,83,0.06719368409052928,3,2
s,shey,328,344,291,374,0.06704303361103192,50,33
ches,shckhy,44,55,43,64,0.06638604114695651,7,7
cthy,sar,100,77,67,48,0.06633171082109227,4,4
shcthy,l,30,156,33,137,0.0656188525255944,6,5
shey,sar,344,77,374,48,0.06521172096644168,15,12
kal,cheo,30,75,27,62,0.06514969050713038,3,3
r,ckhy,196,38,176,27,0.06400063210813002,8,7
cho,ody,77,38,59,24,0.0629940788348712,2,2
shor,o,91,114,85,83,0.062469504755442426,8,7
or,ody,390,38,406,24,0.062302779601001126,10,10
d,shor,53,91,32,85,0.06222111607887978,5,4
shy,lor,94,38,77,39,0.061154287666667584,4,4
ckhy,tar,38,43,27,35,0.061046769566735964,3,3
tol,shcthy,42,30,48,33,0.06067574679742111,2,2
d,am,53,115,32,38,0.06061608062110899,2,2
d,shckhy,53,55,32,64,0.06057031535930258,4,4
qo,ody,51,38,59,24,0.06009623101612528,3,3
s,ckhy,328,38,291,27,0.05976587220967181,9,7
ckhy,chl,38,33,27,28,0.059761430466719674,1,1
d,cthey,53,47,32,50,0.05952380952380952,4,4
sal,sheo,48,46,44,33,0.05950226278185145,2,2
kal,sar,30,77,27,48,0.05921411453740407,3,3
sheo,kar,46,58,33,47,0.059028133610095526,2,2
dol,shcthy,97,30,89,33,0.058719209796118235,3,3
ches,shcthy,44,30,43,33,0.05867752483892765,4,4
ckhey,am,32,115,32,38,0.057735026918962574,2,2
sor,sheo,43,46,45,33,0.05726570111941077,4,4
s,ckhey,328,32,291,32,0.05690078053619358,10,7
d,sal,53,48,32,44,0.05657035277517756,3,3
sheo,tar,46,43,33,35,0.0564033346637209,3,3
ckhey,l,32,156,32,137,0.05629895298995756,7,7
ain,sheo,149,46,107,33,0.05531187409891131,4,4
shar,sheo,34,46,24,33,0.055215763037423274,2,2
she,sal,41,48,39,44,0.05442862585722451,3,3
ckhey,qol,32,147,32,132,0.054325127815727424,5,4
ckhey,r,32,196,32,176,0.053546770557785665,8,7
sheo,ches,46,44,33,43,0.05337129976158585,4,4
sho,ches,118,44,124,43,0.05298501265957812,6,6
cthol,shckhy,55,55,43,64,0.05297922885585077,4,3
kchy,sal,36,48,36,44,0.052835246525726014,2,2
ckhy,sheo,38,46,27,33,0.05279636773484546,2,2
kchy,ody,36,38,36,24,0.05241424183609592,2,2
sal,shcthy,48,30,44,33,0.05233442719890388,3,3
r,chcthy,196,84,176,94,0.05155223315592481,18,17
sol,shcthy,63,30,69,33,0.050769925330593386,3,3
shor,cheo,91,75,85,62,0.050669459193813986,5,4
sal,o,48,114,44,83,0.05048549637751689,6,6
ar,sheo,449,46,388,33,0.050257164392750124,7,7
ckhey,chl,32,33,32,28,0.04999999999999999,1,1
ody,sar,38,77,24,48,0.049844478627922684,2,2
tar,shcthy,43,30,35,33,0.049608806013915846,1,1
shor,chl,91,33,85,28,0.04938647983247947,3,3
d,shcthy,53,30,32,33,0.04894820654762348,3,3
ody,ches,38,44,24,43,0.04843752627904699,3,3
s,ody,328,38,291,24,0.048387096774193554,10,10
dor,shcthy,63,30,68,33,0.04808581550705127,3,3
chcthy,ches,84,44,94,43,0.04728003235885117,7,7
shar,cthey,34,47,24,50,0.0472455591261534,2,2
ody,o,38,114,24,83,0.04695301415158425,3,3
cho,shor,77,91,59,85,0.04656201971797187,6,6
shckhy,lor,55,38,64,39,0.04651615647147404,2,2
cho,shcthy,77,30,59,33,0.045786854649563,3,3
cho,am,77,115,59,38,0.04536092116265144,3,3
sheo,lor,46,38,33,39,0.044876200259632855,3,3
am,sheo,115,46,38,33,0.04250511420422256,2,2
ody,chos,38,42,24,43,0.040996003084539386,2,2
o,shcthy,114,30,83,33,0.04095300778893008,4,4
or,shcthy,390,30,406,33,0.04090202795977756,15,13
shcthy,lor,30,38,33,39,0.03947026761085656,1,1
s,kal,328,30,291,27,0.037226941826245884,7,7
sho,sar,118,77,124,48,0.03680373690492888,3,2
ody,shckhy,38,55,24,64,0.036711154910717615,2,2
ody,air,38,95,24,70,0.036037498507822355,2,2
s,chcthy,328,84,291,94,0.03566407947207465,20,18
kchy,ches,36,44,36,43,0.03554342702865108,3,3
s,shcthy,328,30,291,33,0.033495105267817106,11,10
ckhy,sar,38,77,27,48,0.03343669275452117,2,2
ody,chl,38,33,24,28,0.03340765523905304,1,1
sheo,qol,46,147,33,132,0.03272294601219204,4,4
s,cthey,328,47,291,50,0.032585565953297126,13,12
shy,sar,94,77,77,48,0.03157457446147377,4,4
sheo,o,46,114,33,83,0.031041346478647924,3,3
kal,ches,30,44,27,43,0.030689433030621358,2,2
s,sheo,328,46,291,33,0.028562000133917197,7,7
ckhey,sar,32,77,32,48,0.027975144247209413,2,2
